CPU 3 is empty
cpus=4
             ssh-24203 [001] 76740.228630: funcgraph_entry:                   |                tty_termios_input_baud_rate() {
             ssh-24203 [001] 76740.228631: funcgraph_entry:        1.111 us   |                  tty_termios_baud_rate();
             ssh-24203 [001] 76740.228633: funcgraph_exit:         2.392 us   |                }
             ssh-24203 [001] 76740.228633: funcgraph_entry:        0.729 us   |                tty_termios_baud_rate();
             ssh-24203 [001] 76740.228635: funcgraph_entry:                   |                tty_ldisc_ref() {
             ssh-24203 [001] 76740.228635: funcgraph_entry:        0.692 us   |                  ldsem_down_read_trylock();
             ssh-24203 [001] 76740.228636: funcgraph_exit:         1.986 us   |                }
             ssh-24203 [001] 76740.228638: funcgraph_entry:                   |                n_tty_flush_buffer() {
             ssh-24203 [001] 76740.228638: funcgraph_entry:        0.768 us   |                  down_write();
             ssh-24203 [001] 76740.228640: funcgraph_entry:        0.986 us   |                  reset_buffer_flags();
             ssh-24203 [001] 76740.228642: funcgraph_entry:        0.728 us   |                  n_tty_kick_worker();
             ssh-24203 [001] 76740.228643: funcgraph_entry:        0.750 us   |                  up_write();
             ssh-24203 [001] 76740.228644: funcgraph_exit:         6.813 us   |                }
             ssh-24203 [001] 76740.228645: funcgraph_entry:                   |                tty_ldisc_deref() {
             ssh-24203 [001] 76740.228646: funcgraph_entry:        0.666 us   |                  ldsem_up_read();
             ssh-24203 [001] 76740.228647: funcgraph_exit:         1.890 us   |                }
             ssh-24203 [001] 76740.228648: funcgraph_entry:                   |                tty_wait_until_sent() {
             ssh-24203 [001] 76740.228649: funcgraph_entry:        0.642 us   |                  pty_chars_in_buffer();
             ssh-24203 [001] 76740.228650: funcgraph_exit:         2.142 us   |                }
             ssh-24203 [001] 76740.228650: funcgraph_entry:                   |                tty_set_termios() {
             ssh-24203 [001] 76740.228651: funcgraph_entry:        0.657 us   |                  down_write();
             ssh-24203 [001] 76740.228653: funcgraph_entry:        0.730 us   |                  pty_set_termios();
             ssh-24203 [001] 76740.228654: funcgraph_entry:                   |                  tty_ldisc_ref() {
             ssh-24203 [001] 76740.228655: funcgraph_entry:        0.598 us   |                    ldsem_down_read_trylock();
             ssh-24203 [001] 76740.228656: funcgraph_exit:         1.869 us   |                  }
             ssh-24203 [001] 76740.228657: funcgraph_entry:                   |                  n_tty_set_termios() {
             ssh-24203 [001] 76740.228658: funcgraph_entry:                   |                    __wake_up() {
             ssh-24203 [001] 76740.228659: funcgraph_entry:                   |                      __wake_up_common_lock() {
             ssh-24203 [001] 76740.228659: funcgraph_entry:                   |                        _raw_spin_lock_irqsave() {
             ssh-24203 [001] 76740.228660: funcgraph_entry:        0.758 us   |                          preempt_count_add();
             ssh-24203 [001] 76740.228661: funcgraph_exit:         2.071 us   |                        }
             ssh-24203 [001] 76740.228662: funcgraph_entry:        0.671 us   |                        __wake_up_common();
             ssh-24203 [001] 76740.228664: funcgraph_entry:                   |                        _raw_spin_unlock_irqrestore() {
             ssh-24203 [001] 76740.228665: funcgraph_entry:        0.769 us   |                          preempt_count_sub();
             ssh-24203 [001] 76740.228666: funcgraph_exit:         2.489 us   |                        }
             ssh-24203 [001] 76740.228667: funcgraph_exit:         8.627 us   |                      }
             ssh-24203 [001] 76740.228668: funcgraph_exit:         9.859 us   |                    }
             ssh-24203 [001] 76740.228668: funcgraph_entry:                   |                    __wake_up() {
             ssh-24203 [001] 76740.228669: funcgraph_entry:                   |                      __wake_up_common_lock() {
             ssh-24203 [001] 76740.228670: funcgraph_entry:                   |                        _raw_spin_lock_irqsave() {
             ssh-24203 [001] 76740.228671: funcgraph_entry:        0.659 us   |                          preempt_count_add();
             ssh-24203 [001] 76740.228672: funcgraph_exit:         2.277 us   |                        }
             ssh-24203 [001] 76740.228673: funcgraph_entry:        0.701 us   |                        __wake_up_common();
             ssh-24203 [001] 76740.228674: funcgraph_entry:                   |                        _raw_spin_unlock_irqrestore() {
             ssh-24203 [001] 76740.228675: funcgraph_entry:        0.599 us   |                          preempt_count_sub();
             ssh-24203 [001] 76740.228676: funcgraph_exit:         1.903 us   |                        }
             ssh-24203 [001] 76740.228677: funcgraph_exit:         7.413 us   |                      }
             ssh-24203 [001] 76740.228677: funcgraph_exit:         9.136 us   |                    }
             ssh-24203 [001] 76740.228678: funcgraph_exit:       + 21.230 us  |                  }
             ssh-24203 [001] 76740.228679: funcgraph_entry:                   |                  tty_ldisc_deref() {
             ssh-24203 [001] 76740.228679: funcgraph_entry:        1.020 us   |                    ldsem_up_read();
             ssh-24203 [001] 76740.228681: funcgraph_exit:         2.691 us   |                  }
             ssh-24203 [001] 76740.228682: funcgraph_entry:        0.831 us   |                  up_write();
             ssh-24203 [001] 76740.228683: funcgraph_exit:       + 32.955 us  |                }
             ssh-24203 [001] 76740.228684: funcgraph_exit:       ! 335.691 us |              }
             ssh-24203 [001] 76740.228685: funcgraph_exit:       ! 336.971 us |            }
             ssh-24203 [001] 76740.228685: funcgraph_exit:       ! 338.102 us |          }
             ssh-24203 [001] 76740.228686: funcgraph_exit:       ! 339.106 us |        }
