CPU 2 is empty
cpus=4
             ssh-3222  [001]  4278.019819: funcgraph_entry:        0.587 us   |                  udp_set_dev_scratch();
             ssh-3222  [001]  4278.019820: funcgraph_exit:         1.650 us   |                }
             ssh-3222  [001]  4278.019821: funcgraph_entry:                   |                _raw_spin_unlock_bh() {
             ssh-3222  [001]  4278.019821: funcgraph_entry:                   |                  __local_bh_enable_ip() {
             ssh-3222  [001]  4278.019822: funcgraph_entry:        0.525 us   |                    preempt_count_sub();
             ssh-3222  [001]  4278.019823: funcgraph_entry:        0.590 us   |                    preempt_count_sub();
             ssh-3222  [001]  4278.019824: funcgraph_exit:         2.689 us   |                  }
             ssh-3222  [001]  4278.019824: funcgraph_exit:         3.727 us   |                }
             ssh-3222  [001]  4278.019825: funcgraph_exit:       + 14.989 us  |              }
             ssh-3222  [001]  4278.019825: funcgraph_exit:       + 16.228 us  |            }
             ssh-3222  [001]  4278.019826: funcgraph_exit:       + 17.449 us  |          }
             ssh-3222  [001]  4278.019826: funcgraph_exit:       + 18.729 us  |        }
